image_url,scientific_name,genus,specific_epithet,year,habitat,county
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001409.jpg,Hieracium minneapolitanum,Hieracium,minneapolitanum,1892,,Otter Tail
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000499.jpg,Campanula uliginosa,Campanula,uliginosa,1892,,Chisago
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000318.jpg,Aster longulus,Aster,longulus,1892,In low swampy ground,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002780.jpg,Viola secedens,Viola,secedens,1892,,Crow Wing
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002777.jpg,Viola sandbergii,Viola,sandbergii,1886,Wet places,Goodhue
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002779.jpg,Viola sandbergii,Viola,sandbergii,1891,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002778.jpg,Viola sandbergii,Viola,sandbergii,1895,,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001797.jpg,Meibomia grandiflora var. chandonnetii,Meibomia,grandiflora,1911,in woods,Mahnomen
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001796.jpg,Meibomia grandiflora var. chandonnetii,Meibomia,grandiflora,1911,woods,Mahnomen
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001795.jpg,Meibomia grandiflora var. chandonnetii,Meibomia,grandiflora,1910,,Mahnomen
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001798.jpg,Meibomia grandiflora var. chandonnetii,Meibomia,grandiflora,1911,In woods,Mahnomen
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000977.jpg,Erigeron pulchellus var. tolsteadii,Erigeron,pulchellus,1937,Rock ledge,Goodhue
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001667.jpg,Liatris cylindracea var. solitaria,Liatris,cylindracea,1890,pine barrens,Crow Wing
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000130.jpg,Amelanchier interior,Amelanchier,interior,1935,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001996.jpg,Phlox pilosa f. albiflora,Phlox,pilosa,1891,,Waseca
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002317.jpg,Saxifraga pensylvanica subsp. tenuirostra,Saxifraga,pensylvanica,1941,"Sunny, wet meadow",Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001608.jpg,Lacinaria scariosa var. propinqua,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001348.jpg,Helianthus membranaceus,Helianthus,membranaceus,1891,Copses,Itasca
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001598.jpg,Lacinaria scariosa var. porrecta,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002318.jpg,Saxifraga pensylvanica var. congesta,Saxifraga,pensylvanica,1941,,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002597.jpg,Spiraea alba f. rosea,Spiraea,alba,1941,Roadside,Becker
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001342.jpg,Helianthus giganteus f. verticillatus,Helianthus,giganteus,1945,under shrubs on east bank,Saint Louis
